alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-256,589.46178380647575,260604241,0,1461,899,598.82240917931131,597.69877871455958,598.44249162734548,598.44180739878641,0.6153319644079398,0.4098716010809797,-2.5958247775496233,0.81543035263465435,11.842499862631275,2.6184282293850227,2.4785321799244175,2.200725964428488,2.7563383954203471,1,2.3829296860159692,2.5741346738328659,0
1e-256,589.46178380647575,260604241,1,1701,992,599.3793990889136,598.30941986094172,598.59449029616906,598.59390257943153,0.58318636096413878,0.35236884132211266,-2.3949147560258668,0.72093690061681626,16.478009920961711,2.6184282293850227,2.8856832567087158,2.5579861220277382,3.2133803913896934,1,2.7729116138344652,2.9984548995829665,0
1e-256,589.46178380647575,260604241,2,1538,929,598.53631199413996,597.43121673129838,598.4938191208746,598.49316913710129,0.60403120936280885,0.38916535240191152,-2.5251950585175549,0.78234462704015439,13.273810116994909,2.6184282293850227,2.6091598170593797,2.3150442142678798,2.9032754198508797,1,2.5079447125878747,2.7103749215308848,1
1e-256,589.46178380647575,260604241,3,1433,888,598.96532949846994,597.83465954587007,598.4231540081953,598.42245641486386,0.61967899511514302,0.41797999267164682,-2.6229937194696431,0.82809250271623702,11.339982141717092,2.6184282293850227,2.4310312209662492,2.1591830287322047,2.7028794132002938,1,2.3374790839282689,2.5245833580042296,0
1e-256,589.46178380647575,260604241,4,1509,918,599.09580303713233,597.98358363455498,598.47479591684464,598.47413344580355,0.60834990059642147,0.39701511135661516,-2.5521868787276336,0.79501368006502449,12.70438041547461,2.6184282293850227,2.5599623952812771,2.2722245355846749,2.8477002549778794,1,2.4609420874391099,2.6589827031234443,1
1e-256,589.46178380647575,260604241,5,1574,943,598.61811088113234,597.52119479595717,598.51694153829544,598.51630641601309,0.59911054637865313,0.38031646180503959,-2.4944409148665816,0.76787978833417037,13.959114333511675,2.6184282293850227,2.6702324785770246,2.3686200759554001,2.9718448811986491,1,2.566437472288662,2.7740274848653872,1
1e-256,589.46178380647575,260604241,6,1584,947,598.86627846792487,597.77146248071301,598.52327067334704,598.52263955941009,0.59785353535353536,0.37807214549742729,-2.4865845959595956,0.76418041390771607,14.140730874572371,2.6184282293850227,2.6871971067763702,2.3836289648209785,2.990765248731762,1,2.5827290645827121,2.7916651489700284,1
1e-256,589.46178380647575,260604241,7,1651,973,599.38572086785382,598.30524645998128,598.56467294111667,598.56406743095579,0.58933979406420356,0.36304404655836087,-2.4333737129012718,0.73909155840419261,15.446151282500448,2.6184282293850227,2.8008601157119872,2.4835890948065797,3.1181311366173947,1,2.6916764504390955,2.9100437809848789,0
1e-256,589.46178380647575,260604241,8,1701,992,599.3793990889136,598.30941986094172,598.59449029616906,598.59390257943153,0.58318636096413878,0.35236884132211266,-2.3949147560258668,0.72093690061681626,16.478009920961711,2.6184282293850227,2.8856832567087158,2.5579861220277382,3.2133803913896934,1,2.7729116138344652,2.9984548995829665,0
1e-256,589.46178380647575,260604241,9,1484,908,598.72352556660405,597.6055535594229,598.4581010382725,598.45742741076299,0.61185983827493262,0.40345251048962538,-2.5741239892183283,0.80528844511259479,12.262363920508413,2.6184282293850227,2.5175508247829126,2.2348628304946008,2.8002388190712244,1,2.4202683460460905,2.6148333035197346,0
