source_file,source_sha256,trno,hwam_kg_ha,normalized_yield
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,1,4044.0,0.32771474878444085
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,2,3823.0,0.309805510534846
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,3,4109.0,0.33298217179902756
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,4,4859.0,0.3937601296596434
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,5,4986.0,0.4040518638573744
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,6,5139.0,0.41645056726094004
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,7,5047.0,0.40899513776337115
BRPI0202.MZA,7290aa7086bb99418352f7c8eb54bab0010e4b8bc7b99a87a20dcfe3dce5f444,8,5306.0,0.4299837925445705
EBPL8501.MZA,572585530ad42b0a8ea90715af4fbf7f05ab09db94a066e650f7671caaaebdd1,1,4648.0,0.3766612641815235
EBPL8501.MZA,572585530ad42b0a8ea90715af4fbf7f05ab09db94a066e650f7671caaaebdd1,2,6795.0,0.5506482982171799
FLSC8101.MZA,1aa22571dee5318db5f9ae69b42fbaaa54fa430296310dc965effb077ed84728,1,9760.0,0.7909238249594813
IBWA8301.MZA,9c00471b872a49f278495a009a52022f21b85d3925c1edd105239c356b185f3d,1,2527.0,0.20478119935170178
IBWA8301.MZA,9c00471b872a49f278495a009a52022f21b85d3925c1edd105239c356b185f3d,2,5124.0,0.4152350081037277
IBWA8301.MZA,9c00471b872a49f278495a009a52022f21b85d3925c1edd105239c356b185f3d,3,6489.0,0.5258508914100486
